merchant_id,merchant_name,category,risk_tier,region
1,merchant_0001,gaming,high,US-East
2,merchant_0002,grocery,high,US-East
3,merchant_0003,retail,low,US-East
4,merchant_0004,retail,medium,US-West
5,merchant_0005,travel,medium,APAC
6,merchant_0006,utilities,low,US-Central
7,merchant_0007,online,high,US-Central
8,merchant_0008,gaming,high,US-Central
9,merchant_0009,travel,medium,EU-West
10,merchant_0010,crypto,high,US-East
11,merchant_0011,travel,medium,EU-East
12,merchant_0012,online,low,US-Central
13,merchant_0013,grocery,high,EU-East
14,merchant_0014,utilities,high,US-Central
15,merchant_0015,retail,medium,US-Central
16,merchant_0016,retail,low,EU-West
17,merchant_0017,utilities,medium,US-East
18,merchant_0018,utilities,low,EU-West
19,merchant_0019,crypto,medium,US-Central
20,merchant_0020,travel,low,APAC
21,merchant_0021,retail,low,EU-West
22,merchant_0022,utilities,medium,US-West
23,merchant_0023,retail,low,EU-West
24,merchant_0024,online,low,US-Central
25,merchant_0025,grocery,high,US-East
26,merchant_0026,grocery,medium,US-East
27,merchant_0027,gaming,medium,APAC
28,merchant_0028,restaurant,low,US-West
29,merchant_0029,restaurant,low,EU-West
30,merchant_0030,utilities,medium,EU-East
31,merchant_0031,utilities,medium,US-Central
32,merchant_0032,retail,medium,APAC
33,merchant_0033,grocery,medium,EU-West
34,merchant_0034,utilities,low,EU-East
35,merchant_0035,retail,low,US-Central
36,merchant_0036,restaurant,medium,US-East
37,merchant_0037,crypto,medium,EU-East
38,merchant_0038,grocery,low,EU-East
39,merchant_0039,gaming,high,EU-East
40,merchant_0040,travel,low,US-West
41,merchant_0041,crypto,medium,EU-East
42,merchant_0042,online,medium,US-West
43,merchant_0043,online,low,US-Central
44,merchant_0044,crypto,medium,EU-East
45,merchant_0045,online,low,US-Central
46,merchant_0046,crypto,low,EU-East
47,merchant_0047,retail,high,US-West
48,merchant_0048,restaurant,medium,EU-West
49,merchant_0049,restaurant,low,US-East
50,merchant_0050,online,high,US-Central
51,merchant_0051,utilities,medium,EU-West
52,merchant_0052,utilities,low,US-Central
53,merchant_0053,online,low,APAC
54,merchant_0054,crypto,high,EU-West
55,merchant_0055,crypto,medium,US-West
56,merchant_0056,restaurant,low,US-East
57,merchant_0057,crypto,high,US-East
58,merchant_0058,restaurant,medium,US-West
59,merchant_0059,crypto,high,US-East
60,merchant_0060,grocery,low,US-West
61,merchant_0061,travel,medium,US-Central
62,merchant_0062,online,low,EU-West
63,merchant_0063,retail,low,US-East
64,merchant_0064,online,low,EU-West
65,merchant_0065,gaming,high,APAC
66,merchant_0066,retail,medium,US-West
67,merchant_0067,retail,medium,APAC
68,merchant_0068,restaurant,low,EU-West
69,merchant_0069,retail,low,EU-West
70,merchant_0070,restaurant,medium,US-West
71,merchant_0071,restaurant,low,EU-East
72,merchant_0072,restaurant,medium,EU-West
73,merchant_0073,online,low,US-Central
74,merchant_0074,travel,low,US-West
75,merchant_0075,travel,low,US-West
76,merchant_0076,restaurant,low,EU-East
77,merchant_0077,restaurant,low,APAC
78,merchant_0078,gaming,high,US-East
79,merchant_0079,utilities,low,US-West
80,merchant_0080,online,medium,EU-West
81,merchant_0081,retail,medium,EU-East
82,merchant_0082,online,medium,EU-East
83,merchant_0083,grocery,low,US-East
84,merchant_0084,gaming,high,US-West
85,merchant_0085,crypto,high,US-West
86,merchant_0086,utilities,medium,APAC
87,merchant_0087,online,medium,EU-East
88,merchant_0088,retail,high,EU-East
89,merchant_0089,online,low,US-Central
90,merchant_0090,gaming,high,US-East
91,merchant_0091,retail,high,US-East
92,merchant_0092,retail,low,EU-West
93,merchant_0093,utilities,low,EU-West
94,merchant_0094,crypto,high,EU-East
95,merchant_0095,utilities,low,EU-West
96,merchant_0096,travel,low,US-East
97,merchant_0097,retail,high,US-East
98,merchant_0098,travel,low,EU-East
99,merchant_0099,crypto,high,EU-East
100,merchant_0100,crypto,medium,EU-East
101,merchant_0101,crypto,high,US-West
102,merchant_0102,online,low,EU-East
103,merchant_0103,utilities,low,US-Central
104,merchant_0104,travel,low,US-Central
105,merchant_0105,grocery,medium,US-West
106,merchant_0106,travel,low,US-East
107,merchant_0107,utilities,low,APAC
108,merchant_0108,utilities,low,APAC
109,merchant_0109,gaming,medium,US-West
110,merchant_0110,online,low,APAC
111,merchant_0111,online,low,US-West
112,merchant_0112,utilities,low,EU-West
113,merchant_0113,grocery,low,EU-East
114,merchant_0114,gaming,high,US-Central
115,merchant_0115,grocery,low,EU-West
116,merchant_0116,gaming,low,US-West
117,merchant_0117,crypto,medium,APAC
118,merchant_0118,grocery,medium,US-East
119,merchant_0119,restaurant,medium,APAC
120,merchant_0120,online,low,US-West
121,merchant_0121,gaming,high,US-West
122,merchant_0122,travel,low,US-West
123,merchant_0123,travel,medium,APAC
124,merchant_0124,retail,medium,US-Central
125,merchant_0125,travel,low,EU-East
126,merchant_0126,gaming,high,US-East
127,merchant_0127,crypto,medium,APAC
128,merchant_0128,restaurant,medium,US-West
129,merchant_0129,gaming,high,US-Central
130,merchant_0130,online,low,US-East
131,merchant_0131,online,low,APAC
132,merchant_0132,restaurant,medium,US-West
133,merchant_0133,online,low,US-East
134,merchant_0134,retail,low,APAC
135,merchant_0135,retail,low,APAC
136,merchant_0136,travel,low,US-West
137,merchant_0137,retail,low,US-East
138,merchant_0138,online,low,US-East
139,merchant_0139,restaurant,low,US-West
140,merchant_0140,travel,low,EU-West
141,merchant_0141,crypto,high,EU-East
142,merchant_0142,gaming,high,US-West
143,merchant_0143,travel,low,US-Central
144,merchant_0144,gaming,high,US-West
145,merchant_0145,restaurant,low,US-West
146,merchant_0146,crypto,medium,US-Central
147,merchant_0147,travel,low,US-West
148,merchant_0148,crypto,medium,US-East
149,merchant_0149,travel,low,APAC
150,merchant_0150,restaurant,medium,EU-West
151,merchant_0151,travel,low,EU-East
152,merchant_0152,online,low,US-East
153,merchant_0153,restaurant,low,APAC
154,merchant_0154,crypto,high,US-West
155,merchant_0155,utilities,high,EU-West
156,merchant_0156,utilities,low,US-West
157,merchant_0157,retail,low,US-Central
158,merchant_0158,crypto,medium,APAC
159,merchant_0159,travel,high,US-East
160,merchant_0160,retail,medium,APAC
161,merchant_0161,travel,medium,EU-East
162,merchant_0162,gaming,high,EU-West
163,merchant_0163,online,medium,US-West
164,merchant_0164,restaurant,low,US-West
165,merchant_0165,gaming,medium,US-Central
166,merchant_0166,gaming,high,EU-East
167,merchant_0167,online,low,EU-West
168,merchant_0168,grocery,medium,US-Central
169,merchant_0169,utilities,medium,US-West
170,merchant_0170,utilities,low,US-East
171,merchant_0171,retail,low,US-West
172,merchant_0172,gaming,high,US-Central
173,merchant_0173,online,low,US-West
174,merchant_0174,grocery,low,APAC
175,merchant_0175,restaurant,low,US-Central
176,merchant_0176,retail,low,APAC
177,merchant_0177,grocery,low,US-Central
178,merchant_0178,gaming,high,APAC
179,merchant_0179,utilities,low,US-Central
180,merchant_0180,utilities,high,EU-West
181,merchant_0181,retail,medium,APAC
182,merchant_0182,retail,medium,EU-East
183,merchant_0183,travel,low,EU-West
184,merchant_0184,crypto,high,US-West
185,merchant_0185,grocery,high,US-West
186,merchant_0186,online,low,US-West
187,merchant_0187,restaurant,low,EU-East
188,merchant_0188,gaming,medium,US-West
189,merchant_0189,travel,medium,US-West
190,merchant_0190,online,low,US-Central
191,merchant_0191,utilities,low,US-Central
192,merchant_0192,online,medium,US-Central
193,merchant_0193,crypto,high,EU-East
194,merchant_0194,restaurant,low,EU-East
195,merchant_0195,crypto,medium,EU-East
196,merchant_0196,retail,low,US-West
197,merchant_0197,online,medium,US-Central
198,merchant_0198,retail,low,US-East
199,merchant_0199,online,medium,APAC
200,merchant_0200,restaurant,low,EU-East
201,merchant_0201,crypto,high,US-West
202,merchant_0202,crypto,high,US-East
203,merchant_0203,gaming,low,EU-West
204,merchant_0204,utilities,low,US-Central
205,merchant_0205,restaurant,low,EU-West
206,merchant_0206,travel,low,US-West
207,merchant_0207,gaming,medium,US-West
208,merchant_0208,travel,low,US-West
209,merchant_0209,online,low,US-East
210,merchant_0210,restaurant,low,US-Central
211,merchant_0211,online,low,US-East
212,merchant_0212,online,medium,EU-West
213,merchant_0213,online,low,US-West
214,merchant_0214,travel,low,EU-East
215,merchant_0215,restaurant,low,EU-West
216,merchant_0216,retail,low,US-East
217,merchant_0217,crypto,high,US-East
218,merchant_0218,crypto,medium,APAC
219,merchant_0219,utilities,low,US-West
220,merchant_0220,travel,medium,US-West
221,merchant_0221,travel,medium,US-West
222,merchant_0222,grocery,medium,US-East
223,merchant_0223,online,low,US-East
224,merchant_0224,retail,high,EU-East
225,merchant_0225,retail,low,US-Central
226,merchant_0226,retail,low,US-Central
227,merchant_0227,restaurant,medium,EU-East
228,merchant_0228,utilities,medium,EU-West
229,merchant_0229,online,low,APAC
230,merchant_0230,travel,low,US-East
231,merchant_0231,retail,low,US-East
232,merchant_0232,online,medium,US-Central
233,merchant_0233,restaurant,medium,EU-West
234,merchant_0234,online,low,US-Central
235,merchant_0235,utilities,medium,EU-East
236,merchant_0236,grocery,medium,APAC
237,merchant_0237,gaming,medium,APAC
238,merchant_0238,retail,low,US-West
239,merchant_0239,crypto,low,EU-East
240,merchant_0240,grocery,high,US-West
241,merchant_0241,travel,low,EU-West
242,merchant_0242,online,high,APAC
243,merchant_0243,crypto,high,US-East
244,merchant_0244,retail,low,US-West
245,merchant_0245,restaurant,low,US-East
246,merchant_0246,restaurant,medium,EU-East
247,merchant_0247,online,low,EU-East
248,merchant_0248,utilities,medium,US-West
249,merchant_0249,crypto,medium,US-East
250,merchant_0250,crypto,high,US-West
251,merchant_0251,online,low,US-Central
252,merchant_0252,grocery,low,APAC
253,merchant_0253,utilities,medium,APAC
254,merchant_0254,restaurant,low,US-Central
255,merchant_0255,travel,low,US-West
256,merchant_0256,gaming,medium,EU-East
257,merchant_0257,restaurant,medium,US-West
258,merchant_0258,utilities,low,EU-East
259,merchant_0259,restaurant,medium,EU-East
260,merchant_0260,grocery,low,US-East
261,merchant_0261,gaming,low,US-East
262,merchant_0262,utilities,medium,US-East
263,merchant_0263,travel,low,US-Central
264,merchant_0264,crypto,high,APAC
265,merchant_0265,crypto,low,US-Central
266,merchant_0266,gaming,medium,US-Central
267,merchant_0267,online,medium,US-Central
268,merchant_0268,gaming,medium,US-West
269,merchant_0269,retail,high,US-Central
270,merchant_0270,retail,medium,APAC
271,merchant_0271,crypto,low,US-East
272,merchant_0272,travel,medium,US-Central
273,merchant_0273,utilities,low,US-West
274,merchant_0274,crypto,medium,APAC
275,merchant_0275,grocery,low,EU-West
276,merchant_0276,online,medium,APAC
277,merchant_0277,retail,low,US-East
278,merchant_0278,crypto,high,EU-East
279,merchant_0279,crypto,high,EU-East
280,merchant_0280,restaurant,low,EU-East
281,merchant_0281,restaurant,low,APAC
282,merchant_0282,travel,low,US-East
283,merchant_0283,travel,low,US-East
284,merchant_0284,utilities,low,US-West
285,merchant_0285,utilities,high,EU-East
286,merchant_0286,retail,medium,EU-East
287,merchant_0287,online,low,US-East
288,merchant_0288,online,medium,EU-West
289,merchant_0289,restaurant,medium,APAC
290,merchant_0290,travel,medium,EU-East
291,merchant_0291,restaurant,medium,US-East
292,merchant_0292,online,medium,EU-East
293,merchant_0293,online,high,US-Central
294,merchant_0294,retail,low,US-West
295,merchant_0295,grocery,medium,EU-East
296,merchant_0296,gaming,medium,US-Central
297,merchant_0297,restaurant,low,US-Central
298,merchant_0298,restaurant,medium,APAC
299,merchant_0299,crypto,medium,EU-West
300,merchant_0300,crypto,high,APAC
301,merchant_0301,crypto,medium,EU-East
302,merchant_0302,utilities,high,US-East
303,merchant_0303,crypto,high,US-East
304,merchant_0304,retail,medium,US-East
305,merchant_0305,gaming,high,US-Central
306,merchant_0306,crypto,medium,EU-West
307,merchant_0307,crypto,low,EU-East
308,merchant_0308,grocery,low,US-Central
309,merchant_0309,gaming,medium,US-Central
310,merchant_0310,travel,low,APAC
311,merchant_0311,utilities,low,EU-West
312,merchant_0312,utilities,low,EU-West
313,merchant_0313,utilities,low,EU-East
314,merchant_0314,online,medium,US-West
315,merchant_0315,crypto,high,APAC
316,merchant_0316,grocery,low,EU-East
317,merchant_0317,online,low,APAC
318,merchant_0318,utilities,high,EU-East
319,merchant_0319,utilities,low,EU-West
320,merchant_0320,utilities,low,EU-East
321,merchant_0321,crypto,high,APAC
322,merchant_0322,restaurant,medium,US-East
323,merchant_0323,gaming,medium,US-East
324,merchant_0324,travel,low,EU-East
325,merchant_0325,crypto,medium,EU-West
326,merchant_0326,retail,high,US-East
327,merchant_0327,crypto,high,APAC
328,merchant_0328,grocery,low,APAC
329,merchant_0329,online,medium,EU-East
330,merchant_0330,retail,low,US-East
331,merchant_0331,gaming,high,EU-West
332,merchant_0332,crypto,medium,EU-East
333,merchant_0333,restaurant,low,EU-East
334,merchant_0334,restaurant,low,US-West
335,merchant_0335,retail,medium,EU-East
336,merchant_0336,retail,low,EU-West
337,merchant_0337,crypto,medium,APAC
338,merchant_0338,retail,low,EU-East
339,merchant_0339,retail,low,US-Central
340,merchant_0340,grocery,high,US-East
341,merchant_0341,online,low,APAC
342,merchant_0342,retail,medium,APAC
343,merchant_0343,crypto,high,US-East
344,merchant_0344,grocery,low,EU-West
345,merchant_0345,crypto,high,US-East
346,merchant_0346,utilities,low,US-Central
347,merchant_0347,gaming,medium,EU-East
348,merchant_0348,online,medium,EU-East
349,merchant_0349,gaming,high,EU-West
350,merchant_0350,grocery,medium,US-West
351,merchant_0351,gaming,high,EU-West
352,merchant_0352,grocery,low,US-East
353,merchant_0353,crypto,high,EU-West
354,merchant_0354,grocery,medium,EU-East
355,merchant_0355,retail,low,US-West
356,merchant_0356,retail,medium,US-West
357,merchant_0357,retail,low,US-Central
358,merchant_0358,retail,low,EU-East
359,merchant_0359,utilities,low,US-East
360,merchant_0360,crypto,high,US-East
361,merchant_0361,travel,low,APAC
362,merchant_0362,crypto,high,APAC
363,merchant_0363,utilities,low,EU-West
364,merchant_0364,online,low,US-West
365,merchant_0365,travel,low,EU-West
366,merchant_0366,online,low,APAC
367,merchant_0367,retail,low,EU-West
368,merchant_0368,online,high,APAC
369,merchant_0369,utilities,low,US-Central
370,merchant_0370,retail,medium,APAC
371,merchant_0371,online,low,EU-East
372,merchant_0372,travel,low,APAC
373,merchant_0373,retail,medium,EU-East
374,merchant_0374,retail,low,US-Central
375,merchant_0375,online,low,EU-East
376,merchant_0376,online,high,EU-West
377,merchant_0377,grocery,medium,US-West
378,merchant_0378,online,medium,US-East
379,merchant_0379,travel,low,APAC
380,merchant_0380,retail,low,EU-West
381,merchant_0381,utilities,low,US-West
382,merchant_0382,gaming,high,US-East
383,merchant_0383,online,medium,EU-West
384,merchant_0384,grocery,high,US-West
385,merchant_0385,online,high,EU-East
386,merchant_0386,utilities,high,US-East
387,merchant_0387,travel,low,APAC
388,merchant_0388,retail,high,APAC
389,merchant_0389,grocery,low,EU-West
390,merchant_0390,crypto,medium,US-East
391,merchant_0391,grocery,low,EU-East
392,merchant_0392,online,low,US-Central
393,merchant_0393,online,low,EU-East
394,merchant_0394,grocery,medium,US-Central
395,merchant_0395,crypto,high,EU-East
396,merchant_0396,retail,low,EU-West
397,merchant_0397,retail,low,EU-East
398,merchant_0398,crypto,high,US-East
399,merchant_0399,online,low,EU-East
400,merchant_0400,retail,low,US-East
401,merchant_0401,restaurant,medium,US-Central
402,merchant_0402,retail,low,US-Central
403,merchant_0403,crypto,medium,US-Central
404,merchant_0404,retail,medium,US-East
405,merchant_0405,online,low,APAC
406,merchant_0406,gaming,medium,US-East
407,merchant_0407,crypto,high,APAC
408,merchant_0408,travel,low,EU-East
409,merchant_0409,crypto,high,EU-West
410,merchant_0410,crypto,high,US-West
411,merchant_0411,utilities,low,US-West
412,merchant_0412,restaurant,low,US-Central
413,merchant_0413,gaming,high,US-East
414,merchant_0414,utilities,low,US-West
415,merchant_0415,retail,high,EU-East
416,merchant_0416,travel,low,US-Central
417,merchant_0417,travel,low,US-Central
418,merchant_0418,online,low,US-West
419,merchant_0419,travel,low,APAC
420,merchant_0420,travel,low,US-West
421,merchant_0421,grocery,medium,US-West
422,merchant_0422,gaming,high,US-Central
423,merchant_0423,online,low,APAC
424,merchant_0424,retail,medium,US-West
425,merchant_0425,travel,medium,EU-West
426,merchant_0426,utilities,low,US-East
427,merchant_0427,retail,medium,EU-East
428,merchant_0428,travel,medium,APAC
429,merchant_0429,restaurant,low,APAC
430,merchant_0430,travel,low,US-Central
431,merchant_0431,retail,medium,EU-East
432,merchant_0432,travel,medium,EU-West
433,merchant_0433,crypto,medium,APAC
434,merchant_0434,online,low,APAC
435,merchant_0435,retail,high,APAC
436,merchant_0436,utilities,high,EU-West
437,merchant_0437,utilities,medium,EU-West
438,merchant_0438,utilities,low,EU-West
439,merchant_0439,restaurant,medium,EU-West
440,merchant_0440,retail,medium,US-East
441,merchant_0441,online,low,US-East
442,merchant_0442,gaming,high,US-Central
443,merchant_0443,retail,low,APAC
444,merchant_0444,online,low,APAC
445,merchant_0445,travel,low,US-West
446,merchant_0446,utilities,low,APAC
447,merchant_0447,retail,low,EU-East
448,merchant_0448,crypto,high,APAC
449,merchant_0449,retail,medium,US-East
450,merchant_0450,crypto,high,APAC
451,merchant_0451,crypto,high,US-Central
452,merchant_0452,utilities,low,APAC
453,merchant_0453,grocery,low,US-West
454,merchant_0454,retail,low,US-West
455,merchant_0455,retail,low,EU-East
456,merchant_0456,retail,low,US-Central
457,merchant_0457,grocery,low,EU-East
458,merchant_0458,retail,low,EU-East
459,merchant_0459,utilities,medium,US-Central
460,merchant_0460,restaurant,medium,US-Central
461,merchant_0461,travel,medium,APAC
462,merchant_0462,grocery,low,EU-West
463,merchant_0463,crypto,high,EU-West
464,merchant_0464,retail,low,US-Central
465,merchant_0465,utilities,low,US-Central
466,merchant_0466,gaming,high,EU-West
467,merchant_0467,crypto,high,US-East
468,merchant_0468,grocery,medium,US-Central
469,merchant_0469,travel,low,EU-West
470,merchant_0470,travel,medium,US-Central
471,merchant_0471,restaurant,medium,EU-West
472,merchant_0472,online,low,EU-East
473,merchant_0473,gaming,high,US-West
474,merchant_0474,travel,low,APAC
475,merchant_0475,travel,low,US-East
476,merchant_0476,travel,low,US-East
477,merchant_0477,utilities,low,APAC
478,merchant_0478,restaurant,medium,EU-West
479,merchant_0479,online,medium,US-Central
480,merchant_0480,utilities,medium,EU-East
481,merchant_0481,travel,low,US-West
482,merchant_0482,travel,low,EU-West
483,merchant_0483,gaming,high,APAC
484,merchant_0484,crypto,medium,US-West
485,merchant_0485,travel,low,APAC
486,merchant_0486,utilities,medium,EU-East
487,merchant_0487,grocery,medium,APAC
488,merchant_0488,online,low,EU-East
489,merchant_0489,crypto,medium,EU-West
490,merchant_0490,crypto,medium,US-West
491,merchant_0491,utilities,low,EU-West
492,merchant_0492,gaming,medium,US-East
493,merchant_0493,gaming,low,US-West
494,merchant_0494,restaurant,low,EU-West
495,merchant_0495,gaming,medium,US-East
496,merchant_0496,restaurant,low,EU-West
497,merchant_0497,grocery,medium,US-Central
498,merchant_0498,online,low,US-East
499,merchant_0499,utilities,medium,EU-East
500,merchant_0500,retail,medium,EU-East
501,merchant_0501,travel,medium,EU-East
502,merchant_0502,retail,high,APAC
503,merchant_0503,utilities,medium,APAC
504,merchant_0504,grocery,medium,US-West
505,merchant_0505,utilities,low,EU-West
506,merchant_0506,restaurant,high,EU-East
507,merchant_0507,utilities,medium,US-East
508,merchant_0508,grocery,medium,US-East
509,merchant_0509,retail,low,US-East
510,merchant_0510,crypto,high,APAC
511,merchant_0511,retail,low,US-East
512,merchant_0512,crypto,high,EU-East
513,merchant_0513,restaurant,low,EU-East
514,merchant_0514,restaurant,low,US-East
515,merchant_0515,gaming,medium,US-Central
516,merchant_0516,online,medium,US-West
517,merchant_0517,online,medium,US-Central
518,merchant_0518,utilities,medium,APAC
519,merchant_0519,gaming,high,EU-East
520,merchant_0520,retail,low,US-Central
521,merchant_0521,grocery,high,US-East
522,merchant_0522,utilities,low,US-East
523,merchant_0523,crypto,high,US-Central
524,merchant_0524,crypto,high,US-East
525,merchant_0525,crypto,high,US-West
526,merchant_0526,retail,low,US-West
527,merchant_0527,retail,medium,APAC
528,merchant_0528,gaming,high,US-East
529,merchant_0529,grocery,low,US-Central
530,merchant_0530,utilities,low,US-West
531,merchant_0531,restaurant,low,US-East
532,merchant_0532,utilities,high,US-East
533,merchant_0533,retail,low,EU-East
534,merchant_0534,gaming,high,APAC
535,merchant_0535,restaurant,medium,US-West
536,merchant_0536,travel,low,US-East
537,merchant_0537,grocery,low,US-East
538,merchant_0538,retail,low,US-West
539,merchant_0539,restaurant,medium,US-East
540,merchant_0540,utilities,high,EU-West
541,merchant_0541,grocery,low,US-East
542,merchant_0542,grocery,low,US-West
543,merchant_0543,travel,low,EU-East
544,merchant_0544,utilities,low,US-East
545,merchant_0545,crypto,medium,APAC
546,merchant_0546,crypto,high,US-East
547,merchant_0547,utilities,low,EU-West
548,merchant_0548,online,low,APAC
549,merchant_0549,grocery,medium,US-West
550,merchant_0550,grocery,medium,EU-East
551,merchant_0551,travel,low,US-East
552,merchant_0552,crypto,high,EU-East
553,merchant_0553,travel,low,EU-West
554,merchant_0554,utilities,low,APAC
555,merchant_0555,gaming,high,US-West
556,merchant_0556,grocery,low,US-East
557,merchant_0557,gaming,high,US-Central
558,merchant_0558,online,low,US-West
559,merchant_0559,travel,low,APAC
560,merchant_0560,online,low,APAC
561,merchant_0561,grocery,medium,US-West
562,merchant_0562,restaurant,low,US-Central
563,merchant_0563,restaurant,low,EU-East
564,merchant_0564,utilities,low,EU-East
565,merchant_0565,utilities,medium,APAC
566,merchant_0566,online,medium,US-East
567,merchant_0567,retail,low,US-West
568,merchant_0568,restaurant,low,US-East
569,merchant_0569,utilities,medium,EU-East
570,merchant_0570,crypto,high,EU-East
571,merchant_0571,utilities,high,US-East
572,merchant_0572,restaurant,medium,US-Central
573,merchant_0573,gaming,high,EU-East
574,merchant_0574,online,low,EU-East
575,merchant_0575,travel,low,EU-East
576,merchant_0576,utilities,medium,APAC
577,merchant_0577,crypto,high,APAC
578,merchant_0578,restaurant,low,EU-East
579,merchant_0579,utilities,low,APAC
580,merchant_0580,retail,medium,US-East
581,merchant_0581,restaurant,high,US-Central
582,merchant_0582,retail,low,EU-West
583,merchant_0583,gaming,medium,EU-West
584,merchant_0584,travel,medium,US-East
585,merchant_0585,online,low,EU-East
586,merchant_0586,grocery,low,US-West
587,merchant_0587,crypto,high,EU-West
588,merchant_0588,utilities,low,EU-West
589,merchant_0589,gaming,low,US-East
590,merchant_0590,grocery,low,EU-West
591,merchant_0591,online,medium,US-Central
592,merchant_0592,online,low,APAC
593,merchant_0593,online,low,EU-East
594,merchant_0594,retail,low,US-Central
595,merchant_0595,online,low,US-East
596,merchant_0596,crypto,medium,US-East
597,merchant_0597,gaming,high,US-East
598,merchant_0598,gaming,high,EU-West
599,merchant_0599,crypto,high,US-Central
600,merchant_0600,gaming,medium,APAC
601,merchant_0601,retail,medium,EU-West
602,merchant_0602,online,medium,EU-East
603,merchant_0603,online,high,EU-East
604,merchant_0604,retail,medium,US-West
605,merchant_0605,gaming,high,US-Central
606,merchant_0606,retail,low,EU-West
607,merchant_0607,utilities,high,EU-East
608,merchant_0608,retail,medium,US-Central
609,merchant_0609,crypto,high,US-East
610,merchant_0610,online,low,EU-East
611,merchant_0611,restaurant,low,US-East
612,merchant_0612,gaming,high,EU-East
613,merchant_0613,utilities,low,US-West
614,merchant_0614,travel,high,US-Central
615,merchant_0615,grocery,low,US-Central
616,merchant_0616,crypto,high,EU-East
617,merchant_0617,crypto,high,US-Central
618,merchant_0618,gaming,high,US-Central
619,merchant_0619,online,low,APAC
620,merchant_0620,restaurant,medium,US-East
621,merchant_0621,crypto,high,US-Central
622,merchant_0622,travel,medium,US-Central
623,merchant_0623,restaurant,medium,US-West
624,merchant_0624,retail,medium,EU-West
625,merchant_0625,online,medium,APAC
626,merchant_0626,online,medium,US-West
627,merchant_0627,utilities,low,EU-West
628,merchant_0628,travel,low,US-East
629,merchant_0629,restaurant,medium,EU-West
630,merchant_0630,crypto,low,EU-West
631,merchant_0631,gaming,high,US-Central
632,merchant_0632,retail,low,EU-East
633,merchant_0633,gaming,high,APAC
634,merchant_0634,utilities,low,US-East
635,merchant_0635,retail,low,US-West
636,merchant_0636,travel,medium,APAC
637,merchant_0637,crypto,low,US-West
